field_id,lat,lon,dim
1,40.7128,-74.0060,0.15
2,34.0522,-118.2437,0.10
3,51.5074,-0.1278,0.12
4,37.7749,-122.4194,0.08
5,35.6895,139.6917,0.18
6,52.5200,13.4050,0.14
7,48.8566,2.3522,0.11
8,37.7749,-122.4194,0.08
9,35.6895,139.6917,0.18
10,52.5200,13.4050,0.14
11,48.8566,2.3522,0.11
12,40.7128,-74.0060,0.15
13,34.0522,-118.2437,0.10
14,51.5074,-0.1278,0.12
15,37.7749,-122.4194,0.08
16,35.6895,139.6917,0.18
17,52.5200,13.4050,0.14
18,48.8566,2.3522,0.11
19,37.7749,-122.4194,0.08
20,35.6895,139.6917,0.18
